Ingredient ID,Ingredient,Stock,Price Per Unit
I1,Chicken,97KG,RM10
I2,Rice,80KG,RM5
I3,Beef,30KG,RM39
I4,Salmon,48KG,RM53
I5,Onion,15KG,RM3
I6,Garlic,36KG,RM8
I7,Cheese,93KG,RM27
I8,Egg,49KG,RM13
I9,Milk,83KG,RM10
I10,Tofu,76KG,RM7
I11,Shrimp,70KG,RM33
I12,Mushroom,44KG,RM13
I13,Potato,95KG,RM4
I14,Cabbage,72KG,RM6
I15,Cream,29KG,RM15
I16,Yogurt,50KG,RM13
I17,Zucchini,73KG,RM9
I18,Sugar,26KG,RM4
I19,Parsley,97KG,RM17
I20,Tomato,37KG,RM4
I21,Coriander,73KG,RM11
I22,Basil,52KG,RM11
I23,Vinegar,99KG,RM6
I24,Turmeric,25KG,RM24
I25,Lemon,28KG,RM9
I26,Squid,85KG,RM32
I27,Pasta,68KG,RM12
I28,Mint,10KG,RM12
I29,Broccoli,33KG,RM12
I30,Spinach,12KG,RM8
I31,Lettuce,16KG,RM7
I32,Duck,57KG,RM21
I33,Coconut,63KG,RM12
I34,Salt,33KG,RM3
I35,Butter,55KG,RM22
I36,Oil,56KG,RM8
I37,Bread,24KG,RM6
I38,Clove,57KG,RM22
I39,Lime,88KG,RM6
I40,Ginger,41KG,RM12
I41,Anchovy,60KG,RM21
I42,Cinnamon,27KG,RM21
I43,Lamb,42KG,RM43
I44,Carrot,18KG,RM3
I45,Peas,58KG,RM8
I46,Pumpkin,43KG,RM5
I47,Cucumber,84KG,RM5
I48,Beetroot,42KG,RM6
I49,Radish,48KG,RM6
